vtx-G02-77-1-3	Δ = 77	bi.bi = 1	b0.bi = 3	hypers = 13 x (irr-G2-7)
vtx-G02-326-121-33	Δ = 326	bi.bi = 121	b0.bi = 33	hypers = 20 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-329-289-51	Δ = 329	bi.bi = 289	b0.bi = 51	hypers = 7 x (irr-G2-7) + 10 x (irr-G2-14) + 2 x (irr-G2-77b)
vtx-G02-332-121-33	Δ = 332	bi.bi = 121	b0.bi = 33	hypers = 23 x (irr-G2-7) + 4 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-335-289-51	Δ = 335	bi.bi = 289	b0.bi = 51	hypers = 10 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-341-289-51	Δ = 341	bi.bi = 289	b0.bi = 51	hypers = 13 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-344-64-24	Δ = 344	bi.bi = 64	b0.bi = 24	hypers = 40 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-347-289-51	Δ = 347	bi.bi = 289	b0.bi = 51	hypers = 16 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-351-144-36	Δ = 351	bi.bi = 144	b0.bi = 36	hypers = 28 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-371-100-30	Δ = 371	bi.bi = 100	b0.bi = 30	hypers = 38 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-371-169-39-a	Δ = 371	bi.bi = 169	b0.bi = 39	hypers = 33 x (irr-G2-7) + 2 x (irr-G2-77a)
vtx-G02-371-169-39-b	Δ = 371	bi.bi = 169	b0.bi = 39	hypers = 22 x (irr-G2-7) + 11 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-377-100-30	Δ = 377	bi.bi = 100	b0.bi = 30	hypers = 41 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-377-169-39	Δ = 377	bi.bi = 169	b0.bi = 39	hypers = 25 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-378-225-45	Δ = 378	bi.bi = 225	b0.bi = 45	hypers = 28 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-383-169-39	Δ = 383	bi.bi = 169	b0.bi = 39	hypers = 28 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-384-225-45	Δ = 384	bi.bi = 225	b0.bi = 45	hypers = 31 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-386-196-42	Δ = 386	bi.bi = 196	b0.bi = 42	hypers = 31 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-389-169-39	Δ = 389	bi.bi = 169	b0.bi = 39	hypers = 31 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-392-196-42	Δ = 392	bi.bi = 196	b0.bi = 42	hypers = 34 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-462-144-36	Δ = 462	bi.bi = 144	b0.bi = 36	hypers = 57 x (irr-G2-7) + 1 x (irr-G2-77b)
