vtx-A04-298-49-21-c	Δ = 298	bi.bi = 49	b0.bi = 21	hypers = 14 x (irr-A4-5) + 4 x (irr-A4-10) + 3 x (irr-A4-15) + 3 x (irr-A4-24) + 1 x (irr-A4-45) + 1 x (irr-A4-50)
vtx-A04-298-64-24	Δ = 298	bi.bi = 64	b0.bi = 24	hypers = 12 x (irr-A4-5) + 6 x (irr-A4-15) + 3 x (irr-A4-24) + 2 x (irr-A4-50)
vtx-A04-298-81-27-a	Δ = 298	bi.bi = 81	b0.bi = 27	hypers = 6 x (irr-A4-5) + 3 x (irr-A4-10) + 1 x (irr-A4-15) + 3 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-40) + 2 x (irr-A4-50)
vtx-A04-298-81-27-b	Δ = 298	bi.bi = 81	b0.bi = 27	hypers = 7 x (irr-A4-5) + 3 x (irr-A4-10) + 1 x (irr-A4-15) + 3 x (irr-A4-24) + 2 x (irr-A4-50) + 1 x (irr-A4-70a)
vtx-A04-298-81-27-c	Δ = 298	bi.bi = 81	b0.bi = 27	hypers = 7 x (irr-A4-5) + 2 x (irr-A4-10) + 1 x (irr-A4-15) + 3 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-45) + 2 x (irr-A4-50)
vtx-A04-298-81-27-d	Δ = 298	bi.bi = 81	b0.bi = 27	hypers = 6 x (irr-A4-5) + 3 x (irr-A4-10) + 2 x (irr-A4-15) + 3 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-50) + 1 x (irr-A4-75)
vtx-A04-299-49-21-a	Δ = 299	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 6 x (irr-A4-10) + 5 x (irr-A4-15) + 2 x (irr-A4-24) + 1 x (irr-A4-75)
vtx-A04-299-49-21-b	Δ = 299	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 6 x (irr-A4-10) + 4 x (irr-A4-15) + 2 x (irr-A4-24) + 1 x (irr-A4-40) + 1 x (irr-A4-50)
vtx-A04-299-49-21-c	Δ = 299	bi.bi = 49	b0.bi = 21	hypers = 14 x (irr-A4-5) + 5 x (irr-A4-10) + 4 x (irr-A4-15) + 2 x (irr-A4-24) + 1 x (irr-A4-45) + 1 x (irr-A4-50)
vtx-A04-299-64-24	Δ = 299	bi.bi = 64	b0.bi = 24	hypers = 12 x (irr-A4-5) + 1 x (irr-A4-10) + 7 x (irr-A4-15) + 2 x (irr-A4-24) + 2 x (irr-A4-50)
vtx-A04-299-81-27-a	Δ = 299	bi.bi = 81	b0.bi = 27	hypers = 6 x (irr-A4-5) + 4 x (irr-A4-10) + 2 x (irr-A4-15) + 2 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-40) + 2 x (irr-A4-50)
