mdl-(0,0,2)-210-6B993F4D39995826	vertices = (vtx-A03-83-1-3, vtx-A05-175-3-5)	Δ = 210	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 17 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 2 x (irr-A5-15)	(1,2) : 2 x (irr-A3-4, irr-A5-6)
mdl-(0,0,2)-210-8C86E3B0506BF941	vertices = (vtx-A03-83-1-3, vtx-C03-175-3-5)	Δ = 210	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 20 x (irr-C3-6-q) + 2 x (irr-C3-14b-q)	(1,2) : 2 x (irr-A3-4, irr-C3-6-q)
mdl-(0,0,2)-211-859B64A80BDAB094	vertices = (vtx-A03-83-1-3, vtx-A05-176-3-5)	Δ = 211	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 18 x (irr-A5-6) + 2 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 2 x (irr-A3-4, irr-A5-6)
mdl-(0,0,2)-211-B4AE68498EF3FE0E	vertices = (vtx-A03-83-1-3, vtx-B03-156-4-6)	Δ = 211	bI-odd = ([[3,1],[1,0],[2,0]])	bI-even = ()	(1) : 13 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 3 x (irr-B3-7) + 16 x (irr-B3-8)	(1,2) : 1 x (irr-A3-4, irr-B3-7)
mdl-(0,0,2)-211-871A55B2B1F0953D	vertices = (vtx-A03-83-1-3, vtx-A03-176-8-8)	Δ = 211	bI-odd = ([[3,1],[1,0],[3,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 20 x (irr-A3-4) + 8 x (irr-A3-6) + 1 x (irr-A3-15)	(1,2) : 3 x (irr-A3-4, irr-A3-4)
mdl-(0,0,2)-212-8FD9650F37B6B562	vertices = (vtx-A03-83-1-3, vtx-C03-171-3-5)	Δ = 212	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 14 x (irr-A3-4)	(2) : 18 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q) + 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(0,0,2)-212-087E5D6F25F6735C	vertices = (vtx-A03-83-1-3, vtx-A05-177-3-5)	Δ = 212	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 19 x (irr-A5-6) + 2.5 x (irr-A5-20-q)	(1,2) : 2 x (irr-A3-4, irr-A5-6)
mdl-(0,0,2)-212-EA8A9DBDDA76D91C	vertices = (vtx-A03-83-1-3, vtx-A03-177-8-8)	Δ = 212	bI-odd = ([[3,1],[1,0],[3,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 20 x (irr-A3-4) + 9 x (irr-A3-6) + 1 x (irr-A3-10)	(1,2) : 3 x (irr-A3-4, irr-A3-4)
mdl-(0,0,2)-213-FC97680F23CA5A6E	vertices = (vtx-A03-83-1-3, vtx-D06-178-3-5)	Δ = 213	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 8 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 7 x (irr-D6-12) + 3.5 x (irr-D6-32-q)	(1,2) : 1 x (irr-A3-4, irr-D6-12)
mdl-(0,0,2)-214-537F9B7DB66449F3	vertices = (vtx-A03-83-1-3, vtx-C03-173-3-5)	Δ = 214	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 14 x (irr-A3-4)	(2) : 19.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q) + 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(0,0,2)-214-D770220C3EB8C22E	vertices = (vtx-A03-83-1-3, vtx-A03-171-5-7)	Δ = 214	bI-odd = ([[3,1],[1,0],[3,2]])	bI-even = ()	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 32 x (irr-A3-4) + 3 x (irr-A3-6)	(1,2) : 1 x (irr-A3-4, irr-A3-4) + 1 x (irr-A3-4, irr-A3-6)
mdl-(0,0,2)-215-7C63F12E422FA631	vertices = (vtx-A03-83-1-3, vtx-D04-164-4-6)	Δ = 215	bI-odd = ([[3,1],[1,0],[2,0]])	bI-even = ()	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 4 x (irr-D4-8a) + 16 x (irr-D4-8b)	(1,2) : 1 x (irr-A3-4, irr-D4-8a)
mdl-(0,0,2)-215-DBAA0F555ED262BF	vertices = (vtx-A03-83-1-3, vtx-D04-164-4-6)	Δ = 215	bI-odd = ([[3,1],[1,0],[2,0]])	bI-even = ()	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 8 x (irr-D4-8a) + 12 x (irr-D4-8b)	(1,2) : 1 x (irr-A3-4, irr-D4-8b)
mdl-(0,0,2)-216-F6FAF13BF07B2E98	vertices = (vtx-A03-83-1-3, vtx-C05-173-1-3)	Δ = 216	bI-odd = ([[3,1],[1,0],[1,0]])	bI-even = ()	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 10 x (irr-C5-10-q) + 2 x (irr-C5-44)	(1,2) : 1 x (irr-A3-4, irr-C5-10-q)
mdl-(0,0,2)-216-68F253C2470746F4	vertices = (vtx-A03-83-1-3, vtx-C03-175-3-5)	Δ = 216	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 14 x (irr-A3-4)	(2) : 21 x (irr-C3-6-q) + 2 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q) + 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(0,0,2)-217-5FA64AC51B8227DE	vertices = (vtx-A03-83-1-3, vtx-A06-190-3-5)	Δ = 217	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 6 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 11 x (irr-A6-7) + 5 x (irr-A6-21)	(1,2) : 2 x (irr-A3-4, irr-A6-7)
