mdl-(1,2,0)-175-BF33B7CB3C55380F	vertices = (vtx-A03-39-n1-1, vtx-A05-92-0-2, vtx-A05-92-0-2)	Δ = 175	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 13 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(3) : 13 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A5-6)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-176-848DAD3D7C483208	vertices = (vtx-A03-39-n1-1, vtx-A05-92-0-2, vtx-A05-93-0-2)	Δ = 176	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 13 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(3) : 14 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A3-4, irr-A5-6)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-177-FEB5D577E164C4E3	vertices = (vtx-A03-39-n1-1, vtx-A05-93-0-2, vtx-A05-93-0-2)	Δ = 177	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 14 x (irr-A5-6) + 1 x (irr-A5-20-q)	(3) : 14 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A3-4, irr-A5-6)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-108-FBD2C7064A3E3EEF	vertices = (vtx-A04-26-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 108	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1]])	(1) : 2 x (irr-A4-5)	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A3-4)
mdl-(1,2,0)-118-6FC814BF0B251543	vertices = (vtx-A04-26-n2-0, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 118	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1]])	(1) : 1 x (irr-A4-5)	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 11 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A4-5)
mdl-(1,2,0)-126-619AED7E4988ACD1	vertices = (vtx-A04-26-n2-0, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 126	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1]])	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 11 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-C3-6-q)
mdl-(1,2,0)-128-59F1E78250942DC4	vertices = (vtx-A04-26-n2-0, vtx-A03-61-0-2, vtx-A05-91-0-2)	Δ = 128	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1]])	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 11 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A5-6)
mdl-(1,2,0)-128-B537E7DA50E56068	vertices = (vtx-A04-26-n2-0, vtx-A03-61-0-2, vtx-C03-91-0-2)	Δ = 128	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1]])	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-C3-6-q)
mdl-(1,2,0)-128-607A80BDBC140966	vertices = (vtx-A04-26-n2-0, vtx-A04-76-0-2, vtx-A04-76-0-2)	Δ = 128	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1]])	(2) : 11 x (irr-A4-5) + 2 x (irr-A4-10)	(3) : 11 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A4-5, irr-A4-5)	(1,3) : 1 x (irr-A4-5, irr-A4-5)
mdl-(1,2,0)-129-5179D336D5DF53A7	vertices = (vtx-A04-26-n2-0, vtx-A03-61-0-2, vtx-A05-92-0-2)	Δ = 129	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1]])	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A5-6)
mdl-(1,2,0)-130-6A7C6C4CA79D3AA8	vertices = (vtx-A04-26-n2-0, vtx-A03-61-0-2, vtx-A05-93-0-2)	Δ = 130	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1]])	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 13 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A5-6)
mdl-(1,2,0)-133-057A3A0A59266B07	vertices = (vtx-A04-51-n1-1, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 133	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 5 x (irr-A4-5) + 1 x (irr-A4-10)	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A3-4)
mdl-(1,2,0)-143-73058B72CA0C1B39	vertices = (vtx-A04-51-n1-1, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 143	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 4 x (irr-A4-5) + 1 x (irr-A4-10)	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 11 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A4-5)
mdl-(1,2,0)-151-9FCC0F33A8B7F98D	vertices = (vtx-A04-51-n1-1, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 151	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 3 x (irr-A4-5) + 1 x (irr-A4-10)	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 11 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-C3-6-q)
mdl-(1,2,0)-153-4CC3541DD5FBF2D9	vertices = (vtx-A04-51-n1-1, vtx-A03-61-0-2, vtx-A05-91-0-2)	Δ = 153	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 3 x (irr-A4-5) + 1 x (irr-A4-10)	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 11 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A5-6)
mdl-(1,2,0)-153-A7BA70BA903D0A18	vertices = (vtx-A04-51-n1-1, vtx-A03-61-0-2, vtx-C03-91-0-2)	Δ = 153	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 3 x (irr-A4-5) + 1 x (irr-A4-10)	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-C3-6-q)
mdl-(1,2,0)-153-919F19A09969A58B	vertices = (vtx-A04-51-n1-1, vtx-A04-76-0-2, vtx-A04-76-0-2)	Δ = 153	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 3 x (irr-A4-5) + 1 x (irr-A4-10)	(2) : 11 x (irr-A4-5) + 2 x (irr-A4-10)	(3) : 11 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A4-5, irr-A4-5)	(1,3) : 1 x (irr-A4-5, irr-A4-5)
mdl-(1,2,0)-154-93B8904F51D81026	vertices = (vtx-A04-51-n1-1, vtx-A03-61-0-2, vtx-A05-92-0-2)	Δ = 154	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 3 x (irr-A4-5) + 1 x (irr-A4-10)	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A5-6)
mdl-(1,2,0)-155-8D3DA43242D6F8F6	vertices = (vtx-A04-51-n1-1, vtx-A03-61-0-2, vtx-A05-93-0-2)	Δ = 155	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 3 x (irr-A4-5) + 1 x (irr-A4-10)	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 13 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A5-6)
mdl-(1,2,0)-161-94DC811D44BA1D83	vertices = (vtx-A04-51-n1-1, vtx-A04-76-0-2, vtx-C03-89-0-2)	Δ = 161	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 2 x (irr-A4-5) + 1 x (irr-A4-10)	(2) : 11 x (irr-A4-5) + 2 x (irr-A4-10)	(3) : 11 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A4-5, irr-A4-5)	(1,3) : 1 x (irr-A4-5, irr-C3-6-q)
mdl-(1,2,0)-163-8A7D4F11FB0B5EF4	vertices = (vtx-A04-51-n1-1, vtx-A03-61-0-2, vtx-A06-106-0-2)	Δ = 163	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 2 x (irr-A4-5) + 1 x (irr-A4-10)	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 11 x (irr-A6-7) + 2 x (irr-A6-21)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A6-7)
mdl-(1,2,0)-163-A4AD92A846F28BFC	vertices = (vtx-A04-51-n1-1, vtx-A04-76-0-2, vtx-A05-91-0-2)	Δ = 163	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 2 x (irr-A4-5) + 1 x (irr-A4-10)	(2) : 11 x (irr-A4-5) + 2 x (irr-A4-10)	(3) : 11 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A4-5, irr-A4-5)	(1,3) : 1 x (irr-A4-5, irr-A5-6)
