vtx-C04-92-n1-1	Δ = 92	bi.bi = -1	b0.bi = 1	hypers = 16 x (irr-C4-8-q)
vtx-C04-424-10-12	Δ = 424	bi.bi = 10	b0.bi = 12	hypers = 32 x (irr-C4-8-q) + 6 x (irr-C4-27) + 1 x (irr-C4-42)
vtx-C04-429-10-12	Δ = 429	bi.bi = 10	b0.bi = 12	hypers = 36 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 3 x (irr-C4-27)
vtx-C04-432-9-11	Δ = 432	bi.bi = 9	b0.bi = 11	hypers = 48 x (irr-C4-8-q) + 2 x (irr-C4-42)
vtx-C04-434-10-12	Δ = 434	bi.bi = 10	b0.bi = 12	hypers = 37 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 4 x (irr-C4-27) + 1 x (irr-C4-42)
vtx-C04-439-10-12	Δ = 439	bi.bi = 10	b0.bi = 12	hypers = 41 x (irr-C4-8-q) + 2.5 x (irr-C4-48-q) + 1 x (irr-C4-27)
vtx-C04-443-12-14	Δ = 443	bi.bi = 12	b0.bi = 14	hypers = 16 x (irr-C4-8-q) + 13 x (irr-C4-27)
vtx-C04-444-10-12	Δ = 444	bi.bi = 10	b0.bi = 12	hypers = 42 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 2 x (irr-C4-27) + 1 x (irr-C4-42)
vtx-C04-453-12-14	Δ = 453	bi.bi = 12	b0.bi = 14	hypers = 21 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 11 x (irr-C4-27)
vtx-C04-454-10-12	Δ = 454	bi.bi = 10	b0.bi = 12	hypers = 47 x (irr-C4-8-q) + 1.5 x (irr-C4-48-q) + 1 x (irr-C4-42)
vtx-C04-459-10-12	Δ = 459	bi.bi = 10	b0.bi = 12	hypers = 48 x (irr-C4-8-q) + 1 x (irr-C4-27) + 2 x (irr-C4-42)
vtx-C04-463-12-14	Δ = 463	bi.bi = 12	b0.bi = 14	hypers = 26 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 9 x (irr-C4-27)
vtx-C04-472-27-21	Δ = 472	bi.bi = 27	b0.bi = 21	hypers = 2 x (irr-C4-8-q) + 5 x (irr-C4-48-q) + 4 x (irr-C4-27) + 4 x (irr-C4-36)
vtx-C04-473-12-14	Δ = 473	bi.bi = 12	b0.bi = 14	hypers = 31 x (irr-C4-8-q) + 1.5 x (irr-C4-48-q) + 7 x (irr-C4-27)
vtx-C04-477-27-21-a	Δ = 477	bi.bi = 27	b0.bi = 21	hypers = 9 x (irr-C4-27) + 4 x (irr-C4-36) + 3 x (irr-C4-42)
vtx-C04-477-27-21-b	Δ = 477	bi.bi = 27	b0.bi = 21	hypers = 3 x (irr-C4-8-q) + 3.5 x (irr-C4-48-q) + 5 x (irr-C4-27) + 4 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-478-12-14	Δ = 478	bi.bi = 12	b0.bi = 14	hypers = 32 x (irr-C4-8-q) + 8 x (irr-C4-27) + 1 x (irr-C4-42)
vtx-C04-482-27-21-a	Δ = 482	bi.bi = 27	b0.bi = 21	hypers = 7 x (irr-C4-8-q) + 5.5 x (irr-C4-48-q) + 2 x (irr-C4-27) + 4 x (irr-C4-36)
vtx-C04-482-27-21-b	Δ = 482	bi.bi = 27	b0.bi = 21	hypers = 4 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 6 x (irr-C4-27) + 4 x (irr-C4-36) + 2 x (irr-C4-42)
vtx-C04-483-12-14	Δ = 483	bi.bi = 12	b0.bi = 14	hypers = 36 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 5 x (irr-C4-27)
vtx-C04-487-27-21-a	Δ = 487	bi.bi = 27	b0.bi = 21	hypers = 8 x (irr-C4-8-q) + 4 x (irr-C4-48-q) + 3 x (irr-C4-27) + 4 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-487-27-21-b	Δ = 487	bi.bi = 27	b0.bi = 21	hypers = 5 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 7 x (irr-C4-27) + 4 x (irr-C4-36) + 3 x (irr-C4-42)
vtx-C04-488-12-14	Δ = 488	bi.bi = 12	b0.bi = 14	hypers = 37 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 6 x (irr-C4-27) + 1 x (irr-C4-42)
vtx-C04-489-27-21	Δ = 489	bi.bi = 27	b0.bi = 21	hypers = 2 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 11 x (irr-C4-27) + 1 x (irr-C4-36) + 0.5 x (irr-C4-160-q)
vtx-C04-492-27-21-a	Δ = 492	bi.bi = 27	b0.bi = 21	hypers = 9 x (irr-C4-8-q) + 2.5 x (irr-C4-48-q) + 4 x (irr-C4-27) + 4 x (irr-C4-36) + 2 x (irr-C4-42)
vtx-C04-492-27-21-b	Δ = 492	bi.bi = 27	b0.bi = 21	hypers = 12 x (irr-C4-8-q) + 6 x (irr-C4-48-q) + 4 x (irr-C4-36)
vtx-C04-497-14-16	Δ = 497	bi.bi = 14	b0.bi = 16	hypers = 16 x (irr-C4-8-q) + 15 x (irr-C4-27)
vtx-C04-513-12-14	Δ = 513	bi.bi = 12	b0.bi = 14	hypers = 48 x (irr-C4-8-q) + 3 x (irr-C4-27) + 2 x (irr-C4-42)
vtx-C04-518-12-14	Δ = 518	bi.bi = 12	b0.bi = 14	hypers = 52 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 1 x (irr-C4-42)
vtx-C04-523-12-14	Δ = 523	bi.bi = 12	b0.bi = 14	hypers = 53 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 1 x (irr-C4-27) + 2 x (irr-C4-42)
vtx-C04-567-32-20	Δ = 567	bi.bi = 32	b0.bi = 20	hypers = 54 x (irr-C4-8-q) + 1 x (irr-C4-27) + 0.5 x (irr-C4-288-q)
