vtx-A06-50-n2-0	Δ = 50	bi.bi = -2	b0.bi = 0	hypers = 14 x (irr-A6-7)
vtx-A06-481-27-21	Δ = 481	bi.bi = 27	b0.bi = 21	hypers = 9 x (irr-A6-7) + 4 x (irr-A6-21) + 1 x (irr-A6-28) + 6 x (irr-A6-35) + 3 x (irr-A6-48)
vtx-A06-482-27-21	Δ = 482	bi.bi = 27	b0.bi = 21	hypers = 9 x (irr-A6-7) + 5 x (irr-A6-21) + 2 x (irr-A6-28) + 6 x (irr-A6-35) + 2 x (irr-A6-48)
vtx-A06-483-27-21	Δ = 483	bi.bi = 27	b0.bi = 21	hypers = 9 x (irr-A6-7) + 6 x (irr-A6-21) + 3 x (irr-A6-28) + 6 x (irr-A6-35) + 1 x (irr-A6-48)
vtx-A06-484-27-21	Δ = 484	bi.bi = 27	b0.bi = 21	hypers = 9 x (irr-A6-7) + 7 x (irr-A6-21) + 4 x (irr-A6-28) + 6 x (irr-A6-35)
vtx-A06-487-27-21	Δ = 487	bi.bi = 27	b0.bi = 21	hypers = 14 x (irr-A6-7) + 7 x (irr-A6-35) + 4 x (irr-A6-48)
vtx-A06-488-27-21	Δ = 488	bi.bi = 27	b0.bi = 21	hypers = 14 x (irr-A6-7) + 1 x (irr-A6-21) + 1 x (irr-A6-28) + 7 x (irr-A6-35) + 3 x (irr-A6-48)
vtx-A06-489-27-21	Δ = 489	bi.bi = 27	b0.bi = 21	hypers = 14 x (irr-A6-7) + 2 x (irr-A6-21) + 2 x (irr-A6-28) + 7 x (irr-A6-35) + 2 x (irr-A6-48)
vtx-A06-490-27-21	Δ = 490	bi.bi = 27	b0.bi = 21	hypers = 14 x (irr-A6-7) + 3 x (irr-A6-21) + 3 x (irr-A6-28) + 7 x (irr-A6-35) + 1 x (irr-A6-48)
vtx-A06-491-27-21	Δ = 491	bi.bi = 27	b0.bi = 21	hypers = 14 x (irr-A6-7) + 4 x (irr-A6-21) + 4 x (irr-A6-28) + 7 x (irr-A6-35)
vtx-A06-498-14-16	Δ = 498	bi.bi = 14	b0.bi = 16	hypers = 30 x (irr-A6-7) + 16 x (irr-A6-21)
