vtx-D04-n28-n4-n2	Δ = -28	bi.bi = -4	b0.bi = -2	hypers = 
vtx-D04-258-45-19-b	Δ = 258	bi.bi = 45	b0.bi = 19	hypers = 11 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 2 x (irr-D4-56a)
vtx-D04-258-45-19-c	Δ = 258	bi.bi = 45	b0.bi = 19	hypers = 9 x (irr-D4-8a) + 4 x (irr-D4-8b) + 2 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-259-30-16	Δ = 259	bi.bi = 30	b0.bi = 16	hypers = 10 x (irr-D4-8a) + 4 x (irr-D4-8b) + 5 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-259-35-17-a	Δ = 259	bi.bi = 35	b0.bi = 17	hypers = 7 x (irr-D4-8a) + 7 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-259-35-17-b	Δ = 259	bi.bi = 35	b0.bi = 17	hypers = 14 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-56a)
vtx-D04-259-40-18-a	Δ = 259	bi.bi = 40	b0.bi = 18	hypers = 4 x (irr-D4-8a) + 10 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-259-40-18-b	Δ = 259	bi.bi = 40	b0.bi = 18	hypers = 6 x (irr-D4-8a) + 8 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-56a)
vtx-D04-259-40-18-c	Δ = 259	bi.bi = 40	b0.bi = 18	hypers = 13 x (irr-D4-8a) + 1 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-260-8-10	Δ = 260	bi.bi = 8	b0.bi = 10	hypers = 12 x (irr-D4-8a) + 24 x (irr-D4-8b)
vtx-D04-260-25-15	Δ = 260	bi.bi = 25	b0.bi = 15	hypers = 5 x (irr-D4-8a) + 10 x (irr-D4-8b) + 6 x (irr-D4-28)
vtx-D04-260-30-16-a	Δ = 260	bi.bi = 30	b0.bi = 16	hypers = 2 x (irr-D4-8a) + 13 x (irr-D4-8b) + 4 x (irr-D4-28) + 1 x (irr-D4-56b)
