vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	hypers = 1 x (irr-G2-7)
vtx-G02-248-40-18	Δ = 248	bi.bi = 40	b0.bi = 18	hypers = 22 x (irr-G2-7) + 4 x (irr-G2-27)
vtx-G02-248-48-20	Δ = 248	bi.bi = 48	b0.bi = 20	hypers = 16 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-248-56-22	Δ = 248	bi.bi = 56	b0.bi = 22	hypers = 10 x (irr-G2-7) + 6 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-248-64-24	Δ = 248	bi.bi = 64	b0.bi = 24	hypers = 4 x (irr-G2-7) + 9 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-248-160-36	Δ = 248	bi.bi = 160	b0.bi = 36	hypers = 4 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-64)
vtx-G02-249-35-17	Δ = 249	bi.bi = 35	b0.bi = 17	hypers = 24 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-249-128-32	Δ = 249	bi.bi = 128	b0.bi = 32	hypers = 1 x (irr-G2-7) + 7 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-250-30-16	Δ = 250	bi.bi = 30	b0.bi = 16	hypers = 26 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-250-96-28	Δ = 250	bi.bi = 96	b0.bi = 28	hypers = 5 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-251-25-15	Δ = 251	bi.bi = 25	b0.bi = 15	hypers = 28 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-251-33-17	Δ = 251	bi.bi = 33	b0.bi = 17	hypers = 22 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-251-49-21	Δ = 251	bi.bi = 49	b0.bi = 21	hypers = 10 x (irr-G2-7) + 12 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-252-20-14	Δ = 252	bi.bi = 20	b0.bi = 14	hypers = 30 x (irr-G2-7) + 4 x (irr-G2-14)
vtx-G02-252-36-18	Δ = 252	bi.bi = 36	b0.bi = 18	hypers = 18 x (irr-G2-7) + 10 x (irr-G2-14)
vtx-G02-254-48-20	Δ = 254	bi.bi = 48	b0.bi = 20	hypers = 19 x (irr-G2-7) + 5 x (irr-G2-27)
vtx-G02-254-56-22	Δ = 254	bi.bi = 56	b0.bi = 22	hypers = 13 x (irr-G2-7) + 3 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-254-64-24	Δ = 254	bi.bi = 64	b0.bi = 24	hypers = 7 x (irr-G2-7) + 6 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-254-72-26	Δ = 254	bi.bi = 72	b0.bi = 26	hypers = 1 x (irr-G2-7) + 9 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-254-126-32	Δ = 254	bi.bi = 126	b0.bi = 32	hypers = 4 x (irr-G2-7) + 8 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-254-160-36	Δ = 254	bi.bi = 160	b0.bi = 36	hypers = 7 x (irr-G2-7) + 1 x (irr-G2-27) + 3 x (irr-G2-64)
vtx-G02-255-128-32	Δ = 255	bi.bi = 128	b0.bi = 32	hypers = 4 x (irr-G2-7) + 4 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-256-96-28	Δ = 256	bi.bi = 96	b0.bi = 28	hypers = 8 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-257-25-15	Δ = 257	bi.bi = 25	b0.bi = 15	hypers = 31 x (irr-G2-7) + 2 x (irr-G2-27)
vtx-G02-257-33-17	Δ = 257	bi.bi = 33	b0.bi = 17	hypers = 25 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-257-49-21	Δ = 257	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-G2-7) + 9 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-257-91-27	Δ = 257	bi.bi = 91	b0.bi = 27	hypers = 10 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-257-99-29	Δ = 257	bi.bi = 99	b0.bi = 29	hypers = 4 x (irr-G2-7) + 7 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-257-160-36	Δ = 257	bi.bi = 160	b0.bi = 36	hypers = 5 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-258-20-14	Δ = 258	bi.bi = 20	b0.bi = 14	hypers = 33 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-258-36-18	Δ = 258	bi.bi = 36	b0.bi = 18	hypers = 21 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-258-128-32	Δ = 258	bi.bi = 128	b0.bi = 32	hypers = 9 x (irr-G2-7) + 3 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-259-15-13	Δ = 259	bi.bi = 15	b0.bi = 13	hypers = 35 x (irr-G2-7) + 2 x (irr-G2-14)
vtx-G02-259-39-19	Δ = 259	bi.bi = 39	b0.bi = 19	hypers = 17 x (irr-G2-7) + 11 x (irr-G2-14)
vtx-G02-260-56-22	Δ = 260	bi.bi = 56	b0.bi = 22	hypers = 16 x (irr-G2-7) + 6 x (irr-G2-27)
vtx-G02-260-64-24	Δ = 260	bi.bi = 64	b0.bi = 24	hypers = 10 x (irr-G2-7) + 3 x (irr-G2-14) + 6 x (irr-G2-27)
vtx-G02-260-72-26	Δ = 260	bi.bi = 72	b0.bi = 26	hypers = 4 x (irr-G2-7) + 6 x (irr-G2-14) + 6 x (irr-G2-27)
vtx-G02-260-84-26	Δ = 260	bi.bi = 84	b0.bi = 26	hypers = 10 x (irr-G2-7) + 10 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-260-153-35	Δ = 260	bi.bi = 153	b0.bi = 35	hypers = 5 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-263-33-17	Δ = 263	bi.bi = 33	b0.bi = 17	hypers = 28 x (irr-G2-7) + 3 x (irr-G2-27)
vtx-G02-263-49-21	Δ = 263	bi.bi = 49	b0.bi = 21	hypers = 16 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-263-91-27	Δ = 263	bi.bi = 91	b0.bi = 27	hypers = 13 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-263-99-29	Δ = 263	bi.bi = 99	b0.bi = 29	hypers = 7 x (irr-G2-7) + 4 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-263-126-32	Δ = 263	bi.bi = 126	b0.bi = 32	hypers = 5 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-264-36-18	Δ = 264	bi.bi = 36	b0.bi = 18	hypers = 24 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-264-144-36	Δ = 264	bi.bi = 144	b0.bi = 36	hypers = 3 x (irr-G2-14) + 4 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-265-39-19	Δ = 265	bi.bi = 39	b0.bi = 19	hypers = 20 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-266-10-12	Δ = 266	bi.bi = 10	b0.bi = 12	hypers = 40 x (irr-G2-7)
vtx-G02-266-42-20	Δ = 266	bi.bi = 42	b0.bi = 20	hypers = 16 x (irr-G2-7) + 12 x (irr-G2-14)
