vtx-C03-63-n1-1	Δ = 63	bi.bi = -1	b0.bi = 1	hypers = 14 x (irr-C3-6-q)
vtx-C03-265-32-16	Δ = 265	bi.bi = 32	b0.bi = 16	hypers = 12.5 x (irr-C3-6-q) + 7.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 0.5 x (irr-C3-56-q) + 1 x (irr-C3-64-q)
vtx-C03-265-35-17-a	Δ = 265	bi.bi = 35	b0.bi = 17	hypers = 4.5 x (irr-C3-6-q) + 11.5 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 1 x (irr-C3-56-q)
vtx-C03-265-40-18	Δ = 265	bi.bi = 40	b0.bi = 18	hypers = 8 x (irr-C3-6-q) + 6 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 1 x (irr-C3-70)
vtx-C03-265-60-22	Δ = 265	bi.bi = 60	b0.bi = 22	hypers = 4 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 1 x (irr-C3-56-q) + 1 x (irr-C3-90)
vtx-C03-266-16-12	Δ = 266	bi.bi = 16	b0.bi = 12	hypers = 21 x (irr-C3-6-q) + 7 x (irr-C3-14b-q) + 3 x (irr-C3-21)
vtx-C03-266-21-13	Δ = 266	bi.bi = 21	b0.bi = 13	hypers = 22 x (irr-C3-6-q) + 4 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 1 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-266-24-14	Δ = 266	bi.bi = 24	b0.bi = 14	hypers = 14 x (irr-C3-6-q) + 8 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-56-q)
vtx-C03-266-27-15	Δ = 266	bi.bi = 27	b0.bi = 15	hypers = 12 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 1 x (irr-C3-21) + 1.5 x (irr-C3-64-q)
vtx-C03-266-30-16	Δ = 266	bi.bi = 30	b0.bi = 16	hypers = 4 x (irr-C3-6-q) + 6 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-266-33-17	Δ = 266	bi.bi = 33	b0.bi = 17	hypers = 2 x (irr-C3-6-q) + 9 x (irr-C3-14a) + 1 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-266-35-17	Δ = 266	bi.bi = 35	b0.bi = 17	hypers = 7.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-266-36-18	Δ = 266	bi.bi = 36	b0.bi = 18	hypers = 0.5 x (irr-C3-6-q) + 11.5 x (irr-C3-14b-q) + 3 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-267-12-10	Δ = 267	bi.bi = 12	b0.bi = 10	hypers = 34.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 0.5 x (irr-C3-64-q)
vtx-C03-267-18-12	Δ = 267	bi.bi = 18	b0.bi = 12	hypers = 24.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 1 x (irr-C3-64-q)
vtx-C03-267-20-14	Δ = 267	bi.bi = 20	b0.bi = 14	hypers = 2.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 10 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-267-21-13	Δ = 267	bi.bi = 21	b0.bi = 13	hypers = 16.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 0.5 x (irr-C3-56-q)
vtx-C03-267-25-15-a	Δ = 267	bi.bi = 25	b0.bi = 15	hypers = 10 x (irr-C3-6-q) + 8 x (irr-C3-14b-q) + 4 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-267-25-15-b	Δ = 267	bi.bi = 25	b0.bi = 15	hypers = 3.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 11 x (irr-C3-14a) + 2 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-267-27-15	Δ = 267	bi.bi = 27	b0.bi = 15	hypers = 6.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 10 x (irr-C3-14a) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-267-30-16	Δ = 267	bi.bi = 30	b0.bi = 16	hypers = 11 x (irr-C3-6-q) + 5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 2 x (irr-C3-21) + 1.5 x (irr-C3-64-q)
vtx-C03-267-32-16	Δ = 267	bi.bi = 32	b0.bi = 16	hypers = 14 x (irr-C3-6-q) + 8 x (irr-C3-14b-q) + 0.5 x (irr-C3-56-q) + 1 x (irr-C3-64-q)
vtx-C03-267-33-17	Δ = 267	bi.bi = 33	b0.bi = 17	hypers = 3 x (irr-C3-6-q) + 9 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-267-35-17-a	Δ = 267	bi.bi = 35	b0.bi = 17	hypers = 6 x (irr-C3-6-q) + 12 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 1 x (irr-C3-56-q)
vtx-C03-267-36-18	Δ = 267	bi.bi = 36	b0.bi = 18	hypers = 1 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 2 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-267-40-18	Δ = 267	bi.bi = 40	b0.bi = 18	hypers = 9.5 x (irr-C3-6-q) + 6.5 x (irr-C3-14b-q) + 2 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 1 x (irr-C3-70)
vtx-C03-267-45-19	Δ = 267	bi.bi = 45	b0.bi = 19	hypers = 10.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 0.5 x (irr-C3-56-q) + 1 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-267-60-22	Δ = 267	bi.bi = 60	b0.bi = 22	hypers = 1.5 x (irr-C3-6-q) + 4.5 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 1 x (irr-C3-56-q) + 1 x (irr-C3-90)
vtx-C03-268-16-12	Δ = 268	bi.bi = 16	b0.bi = 12	hypers = 16 x (irr-C3-6-q) + 10 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-268-21-13	Δ = 268	bi.bi = 21	b0.bi = 13	hypers = 23.5 x (irr-C3-6-q) + 4.5 x (irr-C3-14b-q) + 1 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-268-24-14	Δ = 268	bi.bi = 24	b0.bi = 14	hypers = 15.5 x (irr-C3-6-q) + 8.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-56-q)
vtx-C03-268-27-15	Δ = 268	bi.bi = 27	b0.bi = 15	hypers = 13.5 x (irr-C3-6-q) + 2.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 1 x (irr-C3-21) + 1.5 x (irr-C3-64-q)
vtx-C03-268-30-16	Δ = 268	bi.bi = 30	b0.bi = 16	hypers = 5.5 x (irr-C3-6-q) + 6.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-268-33-17	Δ = 268	bi.bi = 33	b0.bi = 17	hypers = 3.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 1 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-268-35-17	Δ = 268	bi.bi = 35	b0.bi = 17	hypers = 9 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-269-18-12	Δ = 269	bi.bi = 18	b0.bi = 12	hypers = 26 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 1 x (irr-C3-64-q)
vtx-C03-269-20-14	Δ = 269	bi.bi = 20	b0.bi = 14	hypers = 4 x (irr-C3-6-q) + 4 x (irr-C3-14b-q) + 9 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-269-21-13	Δ = 269	bi.bi = 21	b0.bi = 13	hypers = 18 x (irr-C3-6-q) + 6 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 0.5 x (irr-C3-56-q)
vtx-C03-269-24-14	Δ = 269	bi.bi = 24	b0.bi = 14	hypers = 16 x (irr-C3-6-q) + 7 x (irr-C3-14a) + 1.5 x (irr-C3-64-q)
vtx-C03-269-25-15	Δ = 269	bi.bi = 25	b0.bi = 15	hypers = 5 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 10 x (irr-C3-14a) + 2 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-269-27-15	Δ = 269	bi.bi = 27	b0.bi = 15	hypers = 8 x (irr-C3-6-q) + 4 x (irr-C3-14b-q) + 9 x (irr-C3-14a) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-269-30-16	Δ = 269	bi.bi = 30	b0.bi = 16	hypers = 12.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 2 x (irr-C3-21) + 1.5 x (irr-C3-64-q)
vtx-C03-269-33-17	Δ = 269	bi.bi = 33	b0.bi = 17	hypers = 4.5 x (irr-C3-6-q) + 9.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-269-35-17-a	Δ = 269	bi.bi = 35	b0.bi = 17	hypers = 7.5 x (irr-C3-6-q) + 12.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 1 x (irr-C3-56-q)
vtx-C03-269-36-18	Δ = 269	bi.bi = 36	b0.bi = 18	hypers = 2.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 2 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-269-45-19	Δ = 269	bi.bi = 45	b0.bi = 19	hypers = 12 x (irr-C3-6-q) + 4 x (irr-C3-14b-q) + 0.5 x (irr-C3-56-q) + 1 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-269-48-20	Δ = 269	bi.bi = 48	b0.bi = 20	hypers = 4 x (irr-C3-6-q) + 8 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 1 x (irr-C3-56-q) + 1 x (irr-C3-70)
vtx-C03-269-50-20-a	Δ = 269	bi.bi = 50	b0.bi = 20	hypers = 7 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 4 x (irr-C3-21) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-90)
vtx-C03-269-60-22-a	Δ = 269	bi.bi = 60	b0.bi = 22	hypers = 3 x (irr-C3-6-q) + 5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 1 x (irr-C3-56-q) + 1 x (irr-C3-90)
vtx-C03-269-60-22-b	Δ = 269	bi.bi = 60	b0.bi = 22	hypers = 0.5 x (irr-C3-6-q) + 5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 2 x (irr-C3-21) + 1 x (irr-C3-56-q) + 0.5 x (irr-C3-126a-q)
vtx-C03-270-16-12	Δ = 270	bi.bi = 16	b0.bi = 12	hypers = 17.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 9 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-270-24-14	Δ = 270	bi.bi = 24	b0.bi = 14	hypers = 17 x (irr-C3-6-q) + 9 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-56-q)
vtx-C03-270-27-15	Δ = 270	bi.bi = 27	b0.bi = 15	hypers = 15 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 1 x (irr-C3-21) + 1.5 x (irr-C3-64-q)
vtx-C03-270-30-16	Δ = 270	bi.bi = 30	b0.bi = 16	hypers = 7 x (irr-C3-6-q) + 7 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-270-33-17	Δ = 270	bi.bi = 33	b0.bi = 17	hypers = 5 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 1 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-270-35-17	Δ = 270	bi.bi = 35	b0.bi = 17	hypers = 10.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-271-7-9	Δ = 271	bi.bi = 7	b0.bi = 9	hypers = 30 x (irr-C3-6-q) + 8 x (irr-C3-14a)
vtx-C03-271-18-12	Δ = 271	bi.bi = 18	b0.bi = 12	hypers = 27.5 x (irr-C3-6-q) + 2.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 1 x (irr-C3-64-q)
vtx-C03-271-20-14	Δ = 271	bi.bi = 20	b0.bi = 14	hypers = 5.5 x (irr-C3-6-q) + 4.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-271-21-13	Δ = 271	bi.bi = 21	b0.bi = 13	hypers = 19.5 x (irr-C3-6-q) + 6.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 0.5 x (irr-C3-56-q)
vtx-C03-271-24-14	Δ = 271	bi.bi = 24	b0.bi = 14	hypers = 17.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 1.5 x (irr-C3-64-q)
vtx-C03-271-25-15	Δ = 271	bi.bi = 25	b0.bi = 15	hypers = 6.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 9 x (irr-C3-14a) + 2 x (irr-C3-21) + 1 x (irr-C3-64-q)
vtx-C03-271-27-15	Δ = 271	bi.bi = 27	b0.bi = 15	hypers = 9.5 x (irr-C3-6-q) + 4.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-271-33-17-a	Δ = 271	bi.bi = 33	b0.bi = 17	hypers = 2 x (irr-C3-6-q) + 9 x (irr-C3-14a) + 4 x (irr-C3-21) + 1 x (irr-C3-70)
vtx-C03-271-33-17-b	Δ = 271	bi.bi = 33	b0.bi = 17	hypers = 6 x (irr-C3-6-q) + 10 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-271-35-17-a	Δ = 271	bi.bi = 35	b0.bi = 17	hypers = 9 x (irr-C3-6-q) + 13 x (irr-C3-14b-q) + 1 x (irr-C3-56-q)
vtx-C03-271-35-17-b	Δ = 271	bi.bi = 35	b0.bi = 17	hypers = 15 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 2.5 x (irr-C3-64-q)
vtx-C03-271-36-18	Δ = 271	bi.bi = 36	b0.bi = 18	hypers = 4 x (irr-C3-6-q) + 4 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 2 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-271-40-18	Δ = 271	bi.bi = 40	b0.bi = 18	hypers = 6 x (irr-C3-6-q) + 9 x (irr-C3-14a) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-271-48-20	Δ = 271	bi.bi = 48	b0.bi = 20	hypers = 5.5 x (irr-C3-6-q) + 8.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 1 x (irr-C3-56-q) + 1 x (irr-C3-70)
vtx-C03-271-50-20-a	Δ = 271	bi.bi = 50	b0.bi = 20	hypers = 8.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 4 x (irr-C3-21) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-90)
vtx-C03-271-50-20-b	Δ = 271	bi.bi = 50	b0.bi = 20	hypers = 6 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 6 x (irr-C3-21) + 0.5 x (irr-C3-64-q) + 0.5 x (irr-C3-126a-q)
vtx-C03-271-60-22-a	Δ = 271	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 2 x (irr-C3-21) + 1 x (irr-C3-56-q) + 0.5 x (irr-C3-126a-q)
vtx-C03-271-60-22-b	Δ = 271	bi.bi = 60	b0.bi = 22	hypers = 4.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 1 x (irr-C3-56-q) + 1 x (irr-C3-90)
vtx-C03-272-16-12	Δ = 272	bi.bi = 16	b0.bi = 12	hypers = 19 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-272-24-14	Δ = 272	bi.bi = 24	b0.bi = 14	hypers = 18.5 x (irr-C3-6-q) + 9.5 x (irr-C3-14b-q) + 1 x (irr-C3-21) + 0.5 x (irr-C3-56-q)
vtx-C03-272-25-15	Δ = 272	bi.bi = 25	b0.bi = 15	hypers = 1 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 14 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-56-q)
vtx-C03-272-27-15	Δ = 272	bi.bi = 27	b0.bi = 15	hypers = 16.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 1 x (irr-C3-21) + 1.5 x (irr-C3-64-q)
vtx-C03-272-30-16	Δ = 272	bi.bi = 30	b0.bi = 16	hypers = 8.5 x (irr-C3-6-q) + 7.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-272-33-17	Δ = 272	bi.bi = 33	b0.bi = 17	hypers = 6.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 1 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-272-35-17	Δ = 272	bi.bi = 35	b0.bi = 17	hypers = 12 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-272-36-18	Δ = 272	bi.bi = 36	b0.bi = 18	hypers = 1 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 5 x (irr-C3-21) + 1 x (irr-C3-70)
vtx-C03-272-48-20	Δ = 272	bi.bi = 48	b0.bi = 20	hypers = 7 x (irr-C3-14a) + 5 x (irr-C3-21) + 1 x (irr-C3-90)
vtx-C03-273-7-9	Δ = 273	bi.bi = 7	b0.bi = 9	hypers = 31.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 7 x (irr-C3-14a)
vtx-C03-273-18-12	Δ = 273	bi.bi = 18	b0.bi = 12	hypers = 29 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 1 x (irr-C3-64-q)
vtx-C03-273-20-14	Δ = 273	bi.bi = 20	b0.bi = 14	hypers = 7 x (irr-C3-6-q) + 5 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-273-21-13	Δ = 273	bi.bi = 21	b0.bi = 13	hypers = 21 x (irr-C3-6-q) + 7 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 0.5 x (irr-C3-56-q)
vtx-C03-273-24-14	Δ = 273	bi.bi = 24	b0.bi = 14	hypers = 19 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 1.5 x (irr-C3-64-q)
vtx-C03-273-27-15	Δ = 273	bi.bi = 27	b0.bi = 15	hypers = 11 x (irr-C3-6-q) + 5 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-273-33-17-a	Δ = 273	bi.bi = 33	b0.bi = 17	hypers = 3.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 4 x (irr-C3-21) + 1 x (irr-C3-70)
vtx-C03-273-33-17-b	Δ = 273	bi.bi = 33	b0.bi = 17	hypers = 1 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 11 x (irr-C3-14a) + 0.5 x (irr-C3-56-q) + 1 x (irr-C3-64-q)
vtx-C03-273-33-17-c	Δ = 273	bi.bi = 33	b0.bi = 17	hypers = 7.5 x (irr-C3-6-q) + 10.5 x (irr-C3-14b-q) + 2 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-273-36-18	Δ = 273	bi.bi = 36	b0.bi = 18	hypers = 5.5 x (irr-C3-6-q) + 4.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 2 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-273-40-18	Δ = 273	bi.bi = 40	b0.bi = 18	hypers = 7.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 8 x (irr-C3-14a) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-273-48-20	Δ = 273	bi.bi = 48	b0.bi = 20	hypers = 7 x (irr-C3-6-q) + 9 x (irr-C3-14b-q) + 1 x (irr-C3-56-q) + 1 x (irr-C3-70)
vtx-C03-273-50-20-a	Δ = 273	bi.bi = 50	b0.bi = 20	hypers = 10 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 4 x (irr-C3-21) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-90)
vtx-C03-273-50-20-b	Δ = 273	bi.bi = 50	b0.bi = 20	hypers = 7.5 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 6 x (irr-C3-21) + 0.5 x (irr-C3-64-q) + 0.5 x (irr-C3-126a-q)
vtx-C03-273-60-22-a	Δ = 273	bi.bi = 60	b0.bi = 22	hypers = 3.5 x (irr-C3-6-q) + 6 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 2 x (irr-C3-21) + 1 x (irr-C3-56-q) + 0.5 x (irr-C3-126a-q)
vtx-C03-273-60-22-b	Δ = 273	bi.bi = 60	b0.bi = 22	hypers = 6 x (irr-C3-6-q) + 6 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 1 x (irr-C3-56-q) + 1 x (irr-C3-90)
vtx-C03-273-65-23-b	Δ = 273	bi.bi = 65	b0.bi = 23	hypers = 7 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 4 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-126a-q) + 1 x (irr-C3-70)
vtx-C03-273-65-23-c	Δ = 273	bi.bi = 65	b0.bi = 23	hypers = 4.5 x (irr-C3-6-q) + 3 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 1 x (irr-C3-56-q) + 1 x (irr-C3-64-q) + 0.5 x (irr-C3-126a-q)
vtx-C03-274-16-12	Δ = 274	bi.bi = 16	b0.bi = 12	hypers = 20.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 7 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-64-q)
vtx-C03-274-27-15	Δ = 274	bi.bi = 27	b0.bi = 15	hypers = 18 x (irr-C3-6-q) + 4 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 1 x (irr-C3-21) + 1.5 x (irr-C3-64-q)
vtx-C03-274-30-16	Δ = 274	bi.bi = 30	b0.bi = 16	hypers = 10 x (irr-C3-6-q) + 8 x (irr-C3-14b-q) + 3 x (irr-C3-14a) + 1 x (irr-C3-21) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-274-33-17	Δ = 274	bi.bi = 33	b0.bi = 17	hypers = 8 x (irr-C3-6-q) + 2 x (irr-C3-14b-q) + 5 x (irr-C3-14a) + 1 x (irr-C3-21) + 2 x (irr-C3-64-q)
vtx-C03-274-35-17	Δ = 274	bi.bi = 35	b0.bi = 17	hypers = 13.5 x (irr-C3-6-q) + 2.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a) + 3 x (irr-C3-21) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-70)
vtx-C03-274-36-18-a	Δ = 274	bi.bi = 36	b0.bi = 18	hypers = 2.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 5 x (irr-C3-21) + 1 x (irr-C3-70)
vtx-C03-274-48-20	Δ = 274	bi.bi = 48	b0.bi = 20	hypers = 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 5 x (irr-C3-21) + 1 x (irr-C3-90)
vtx-C03-274-64-24	Δ = 274	bi.bi = 64	b0.bi = 24	hypers = 1 x (irr-C3-14a) + 3 x (irr-C3-21) + 2 x (irr-C3-64-q) + 1 x (irr-C3-90)
vtx-C03-275-7-9	Δ = 275	bi.bi = 7	b0.bi = 9	hypers = 33 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 6 x (irr-C3-14a)
vtx-C03-275-18-12	Δ = 275	bi.bi = 18	b0.bi = 12	hypers = 30.5 x (irr-C3-6-q) + 3.5 x (irr-C3-14b-q) + 1 x (irr-C3-64-q)
vtx-C03-275-20-14	Δ = 275	bi.bi = 20	b0.bi = 14	hypers = 8.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 4 x (irr-C3-21)
vtx-C03-275-21-13	Δ = 275	bi.bi = 21	b0.bi = 13	hypers = 22.5 x (irr-C3-6-q) + 7.5 x (irr-C3-14b-q) + 2 x (irr-C3-14a) + 0.5 x (irr-C3-56-q)
vtx-C03-275-24-14	Δ = 275	bi.bi = 24	b0.bi = 14	hypers = 20.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q) + 4 x (irr-C3-14a) + 1.5 x (irr-C3-64-q)
vtx-C03-275-27-15	Δ = 275	bi.bi = 27	b0.bi = 15	hypers = 12.5 x (irr-C3-6-q) + 5.5 x (irr-C3-14b-q) + 6 x (irr-C3-14a) + 0.5 x (irr-C3-56-q) + 0.5 x (irr-C3-64-q)
vtx-C03-275-32-16	Δ = 275	bi.bi = 32	b0.bi = 16	hypers = 16 x (irr-C3-6-q) + 4 x (irr-C3-14a) + 2 x (irr-C3-21) + 0.5 x (irr-C3-64-q) + 1 x (irr-C3-70)
